AccountID,TransactionAmount,TransactionType,Location,MerchantID,Channel,TransactionDuration,LoginAttempts,AccountBalance,ip_prefix,time_diff_days,age_group,TransactionType_enc,Location_enc,MerchantID_enc,Channel_enc,ip_prefix_enc,age_group_enc,pca1,pca2,fraud_label
AC00128,14.09,Debit,San Diego,M015,ATM,81.0,1.0,5112.21,162.198,572.6520138888889,65+,1,36,14,0,186,4,1.8681122825003784,1.0841208145581076,0
AC00455,376.24,Debit,Houston,M052,ATM,141.0,1.0,13758.91,13.149,495.6425462962963,65+,1,15,51,0,82,4,2.6811874682593664,1.2492002426646402,0
AC00019,126.29,Debit,Mesa,M009,Online,56.0,1.0,1122.35,215.97,482.57703703703703,18-25,1,23,8,2,342,0,-2.3074871157705017,-0.8162818378660607,0
AC00070,184.5,Debit,Raleigh,M002,Online,25.0,1.0,8569.06,200.13,548.650636574074,26-35,1,33,1,2,299,1,-0.883489957738891,-0.8048440464891687,0
AC00411,13.45,Credit,Atlanta,M091,Online,198.0,1.0,7429.4,65.164,384.5939236111111,26-35,0,1,90,2,499,1,-0.7976577531772044,-1.7774907796722934,0
AC00393,92.15,Debit,Oklahoma City,M054,ATM,172.0,1.0,781.68,117.67,580.6191550925926,18-25,1,28,53,0,60,0,-2.3563851671320526,1.1364021249844667,0
AC00199,7.08,Credit,Seattle,M019,ATM,139.0,1.0,13316.71,140.212,627.6481597222222,36-50,0,39,18,0,112,2,0.5979774944182336,-0.5902576243270297,0
AC00069,171.42,Credit,Indianapolis,M020,Branch,291.0,1.0,2796.24,92.214,545.5992592592593,65+,0,16,19,1,569,4,1.540584652296257,-1.0640071399960487,0
AC00135,106.23,Credit,Detroit,M035,Branch,86.0,1.0,9095.14,24.148,593.632962962963,51-65,0,11,34,1,369,3,1.197995314241246,-1.0518334312811193,0
AC00385,815.96,Debit,Nashville,M007,ATM,120.0,1.0,1021.88,32.169,583.6663773148148,51-65,1,26,6,0,392,3,0.28481468949687205,1.0771321642369802,0
AC00150,17.78,Credit,Albuquerque,M073,Online,59.0,1.0,7599.52,213.15,600.6392939814815,51-65,0,0,72,2,336,3,1.15601556798395,-1.5742471234217164,0
AC00459,190.02,Debit,Memphis,M030,Online,173.0,1.0,1528.81,116.175,636.6091666666666,18-25,1,22,29,2,56,0,-2.1837458723811562,-0.56765715998802,0
AC00392,494.52,Credit,Mesa,M057,Branch,111.0,1.0,1620.02,210.98,515.616087962963,18-25,0,23,56,1,331,0,-2.0118504112788154,-1.2825453805314302,0
AC00264,781.76,Debit,Memphis,M025,ATM,123.0,1.0,189.69,193.83,349.64434027777776,26-35,1,22,24,0,276,1,-1.7013387103470927,0.6968174682818767,0
AC00085,166.99,Debit,Louisville,M017,Online,134.0,1.0,299.93,188.124,629.63625,18-25,1,21,16,2,250,0,-2.456460295562944,-0.5683111881979498,0
AC00270,465.45,Debit,Denver,M025,ATM,129.0,1.0,3465.54,221.169,327.6588888888889,36-50,1,10,24,0,360,2,-0.48412181784818786,0.8553677739021028,0
AC00317,555.8,Credit,Austin,M048,Branch,158.0,1.0,1131.26,53.218,370.6352546296296,18-25,0,2,47,1,462,0,-2.2051390544529634,-1.3861179087117816,0
